post_id,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19
52,0.30911914,0.38328394,-0.07511299,-0.09649924,-0.14008142,-0.17740338,0.013234538,-0.12673067,0.02671722,0.028139545,0.20892467,0.42841798,-0.09577499,-0.09045655,0.022182304,0.053555377,-0.17716303,-0.18091972,0.008483633,0.030803977
53,0.30381283,0.39874986,-0.072278604,-0.12359988,-0.14957653,-0.19510375,-0.007712707,-0.1279969,-0.009154434,0.042606506,0.21580422,0.47977516,-0.12819435,-0.10400156,0.085399106,0.067175366,-0.20230752,-0.13496502,0.008183891,0.054783985
55,0.26923698,0.36504847,-0.06790873,-0.11076297,-0.119502366,-0.18636562,-0.00992668,-0.035982624,-0.059508607,-0.05057513,0.16218536,0.40842488,-0.10482255,-0.0951356,0.029830052,0.08852575,-0.20192893,-0.08105271,0.034580693,-0.10962485
57,0.36145422,0.39812264,-0.08657764,-0.12972516,-0.13097353,-0.19880545,0.032705996,-0.07885526,-0.011550636,-0.031471994,0.2416316,0.46164858,-0.13605276,-0.1162653,0.051120203,0.07125665,-0.1863416,-0.17140381,0.03352638,0.059981383
61,0.2645651,0.28476146,-0.071431406,-0.08530409,-0.13697967,-0.14480433,0.05990007,-0.05719211,-0.025579317,-0.022838896,0.19271958,0.31463942,-0.0881154,-0.08505716,-0.009309521,0.11560321,-0.15136467,-0.13246144,0.02343804,-0.036115248
34,0.0805743,-0.017415132,0.5706553,-0.08354611,-0.121877275,0.11985198,0.19753356,-0.21206546,-0.06379073,0.045978256,0.11653806,0.041636728,0.5750731,-0.17652823,0.1648446,0.14114366,0.21136758,-0.16409647,0.10913002,-0.039159093
39,0.07481953,-0.01700013,0.41960618,-0.051651597,-0.11386497,0.1251286,0.17796345,-0.27939665,-0.068109214,0.066324055,0.087979525,0.048830476,0.40229255,-0.11695128,0.11219454,0.09151929,0.15918806,-0.075854495,0.046556488,-0.06745444
40,0.066603415,-0.020417526,0.3691436,0.009877936,-0.1154113,0.04921635,0.11042642,-0.14653547,-0.049912956,-0.07220601,0.129971,0.024452612,0.30430037,-0.050749164,0.0850804,0.07326401,0.096861914,-0.16724873,0.031995457,0.08665602
42,0.12541923,0.016471801,0.46838486,-0.14566523,0.062508054,-0.102264315,-0.08121714,0.18791403,0.09114759,0.000953496,0.16046299,0.07381696,0.45726326,-0.16315237,0.088025905,0.054261025,-0.008637128,-0.05596207,0.035472684,0.06385094
47,0.11420227,-0.057129987,0.535314,-0.06825204,-0.1077834,0.08307599,0.14054343,-0.06485557,-0.013127594,-0.032900672,0.16912791,0.021409608,0.51805663,-0.142589,0.15481319,0.1285703,0.16168241,-0.1701564,0.101626456,-0.017702032
31,0.13854596,-0.114544004,-0.024060493,-0.0479916,0.027203308,-0.012661289,0.008789603,-0.10887539,0.057726864,0.054369558,0.26804042,-0.085393466,0.010026559,-0.06270544,-0.10576723,-0.046289656,-0.019992776,-0.007496728,-0.049087863,0.011908043
36,0.09139583,-0.048851155,0.18647665,0.003847251,-0.052960247,-0.01249388,-0.025365334,-0.1315913,-0.008375277,-0.02403734,0.119958445,0.000954862,0.15464275,-0.024058312,0.046843976,-0.043473642,-0.06608404,-0.011047683,-0.051593777,-0.055283185
67,0.08288775,-0.048436705,-0.026372632,-0.05913358,0.052982673,-0.024138765,0.03893331,0.06266764,0.008013886,0.056717437,0.1399915,-0.022647306,-0.017497472,-0.056495454,-0.055266812,0.031557042,0.015740855,0.0448219,0.08058228,-0.02781848
68,0.12049055,-0.07476584,-0.03978789,-0.015684685,0.001768154,-0.038167764,0.14163296,-0.055118125,0.029208528,-0.07441826,0.2307128,-0.04869038,-0.048975233,-0.006850151,-0.12105093,0.15936998,0.010136391,-0.14474057,-0.008087314,-0.050851677
80,0.09607699,-0.08796397,-0.020595387,-0.013554752,-0.06709807,0.000747726,0.20933843,-0.10029081,0.2617705,-0.17957658,0.21384077,-0.100735545,-0.023215331,-0.019725647,-0.17184184,0.31112072,0.10962732,-0.108150855,-0.2113467,-0.16933146
85,0.14667562,-0.121618435,-0.036818568,-0.041925933,-0.06002762,0.053710304,0.2515211,0.0769631,0.32941136,-0.10107781,0.28967202,-0.1208607,-0.05319199,-0.01564656,-0.15547436,0.37145138,0.10472613,-0.028469995,-0.2110238,-0.16504967
88,0.16864067,-0.14148577,-0.0472843,0.007037582,-0.02780256,-0.031641718,0.23055018,0.07181821,0.22088628,-0.011506313,0.29475898,-0.09711891,-0.0669953,0.009426377,-0.17417863,0.22031462,0.0799699,-0.04106132,-0.06537069,-0.053830273
96,0.17525049,-0.14718713,-0.04754758,-0.015437417,0.025258694,0.006977646,0.32940468,0.14770076,0.21874176,-0.086175464,0.32647654,-0.12425217,-0.056567475,-0.03124806,-0.25252908,0.33484882,0.12225378,-0.003260389,-0.078431256,-0.111358
